,Account_Length,Vmail_Message,Day_Mins,Eve_Mins,Night_Mins,Intl_Mins,CustServ_Calls,Intl_Plan,Vmail_Plan,Day_Calls,Day_Charge,Eve_Calls,Eve_Charge,Night_Calls,Night_Charge,Intl_Calls,Intl_Charge,State,Phone,Churn,total_mins,total_bills
959,58,0,165.4,115.7,193.8,12.8,2,0,0,100,28.12,87,9.83,118,8.72,5,3.46,GA,389-9120,0,487.70000000000005,50.13
960,5,0,199.2,187.3,214.0,13.3,3,0,0,106,33.86,12,15.92,85,9.63,3,3.59,AR,380-2758,0,613.8,63.0
961,97,0,217.6,320.5,150.7,4.2,0,0,0,81,36.99,51,27.24,110,6.78,3,1.13,MA,402-2728,0,693.0,72.14
962,107,0,212.1,150.1,219.8,7.7,3,0,0,95,36.06,88,12.76,111,9.89,2,2.08,NJ,354-9062,0,589.7,60.79
963,142,30,154.0,165.8,270.0,10.8,1,0,1,75,26.18,97,14.09,83,12.15,5,2.92,MO,417-2054,0,600.5999999999999,55.339999999999996
964,9,31,193.8,202.6,191.2,13.3,1,0,1,130,32.95,98,17.22,102,8.6,2,3.59,NY,353-1941,0,600.8999999999999,62.36
965,73,0,175.4,248.1,122.4,12.2,0,0,0,130,29.82,105,21.09,85,5.51,4,3.29,AZ,328-1522,0,558.1,59.709999999999994
966,48,22,152.0,258.8,263.2,15.7,2,0,1,63,25.84,131,22.0,109,11.84,5,4.24,NJ,408-4529,1,689.7,63.92000000000001
967,43,0,230.2,186.7,128.4,9.2,0,0,0,147,39.13,121,15.87,100,5.78,3,2.48,WV,417-5320,0,554.5,63.26
968,122,33,174.9,248.2,164.6,13.5,1,0,1,103,29.73,105,21.1,116,7.41,3,3.65,NM,370-9755,1,601.2,61.88999999999999
969,93,0,190.2,262.2,130.0,8.8,0,0,0,68,32.33,64,22.29,92,5.85,4,2.38,SC,372-4835,0,591.1999999999999,62.85
970,85,0,176.4,224.9,219.6,11.5,1,0,0,122,29.99,123,19.12,50,9.88,1,3.11,VT,334-6605,0,632.4,62.1
971,59,0,160.9,251.2,273.4,5.0,3,0,0,95,27.35,65,21.35,97,12.3,5,1.35,TN,399-5564,0,690.5,62.35
972,87,0,228.7,163.0,154.1,11.8,1,0,0,90,38.88,99,13.86,90,6.93,3,3.19,LA,392-2887,0,557.5999999999999,62.86
973,137,0,144.0,181.6,128.1,12.3,0,0,0,90,24.48,100,15.44,93,5.76,2,3.32,OH,328-2110,0,466.00000000000006,49.0
974,21,31,135.9,271.0,179.1,9.5,6,0,1,90,23.1,84,23.04,89,8.06,7,2.57,OR,383-5976,0,595.5,56.77
975,129,0,334.3,192.1,191.0,10.4,0,0,0,118,56.83,104,16.33,83,8.59,6,2.81,DE,332-6181,1,727.8,84.56
976,104,0,130.5,131.2,264.7,13.0,0,0,0,77,22.19,117,11.15,63,11.91,6,3.51,KY,330-5255,0,539.4,48.76
977,93,21,134.2,162.5,186.6,11.8,4,0,1,105,22.81,128,13.81,90,8.4,2,3.19,GA,413-5190,1,495.09999999999997,48.209999999999994
978,63,0,278.0,266.4,224.1,13.1,4,0,0,102,47.26,114,22.64,118,10.08,4,3.54,VT,394-7447,1,781.6,83.52000000000001
979,161,0,105.4,214.8,223.6,7.8,0,0,0,70,17.92,122,18.26,126,10.06,5,2.11,OR,353-7096,0,551.6,48.35000000000001
980,50,0,188.9,203.9,151.8,11.6,3,0,0,94,32.11,104,17.33,124,6.83,8,3.13,TX,395-6002,0,556.2,59.4
981,103,24,111.8,239.6,268.3,6.9,1,0,1,85,19.01,102,20.37,81,12.07,4,1.86,MO,372-9816,0,626.6,53.31
982,84,33,159.1,149.8,213.4,13.0,1,0,1,106,27.05,101,12.73,108,9.6,18,3.51,ND,400-7253,0,535.3,52.89
983,92,0,212.4,224.6,221.3,9.0,1,0,0,105,36.11,118,19.09,105,9.96,4,2.43,MN,344-7470,0,667.3,67.59
984,77,0,142.3,306.3,196.5,9.9,1,0,0,112,24.19,111,26.04,82,8.84,1,2.67,NV,378-8572,0,655.0,61.74000000000001
985,64,0,346.8,249.5,275.4,13.3,1,1,0,55,58.96,79,21.21,102,12.39,9,3.59,NY,345-9140,1,884.9999999999999,96.15
986,159,15,113.9,145.3,195.2,11.8,1,0,1,102,19.36,146,12.35,137,8.78,9,3.19,FL,340-5460,0,466.20000000000005,43.68
987,110,27,267.9,263.3,178.1,8.3,1,1,1,103,45.54,74,22.38,106,8.01,2,2.24,KS,369-8024,1,717.6,78.17
988,138,0,171.4,115.2,224.5,17.0,3,0,0,117,29.14,128,9.79,115,10.1,4,4.59,NV,395-8595,0,528.1,53.620000000000005
989,178,0,275.4,187.5,147.1,13.6,1,0,0,150,46.82,62,15.94,126,6.62,3,3.67,NV,359-4587,0,623.6,73.05
990,38,31,197.2,249.9,298.9,3.9,0,0,1,118,33.52,70,21.24,104,13.45,2,1.05,SC,375-5439,0,749.9,69.26
991,50,35,192.6,135.2,216.2,7.9,2,0,1,97,32.74,101,11.49,101,9.73,2,2.13,MI,361-3779,0,551.9,56.09000000000001
992,45,26,91.7,150.6,63.3,7.7,1,0,1,104,15.59,119,12.8,103,2.85,5,2.08,MI,375-8934,0,313.3,33.32
993,70,0,126.3,141.6,255.9,9.6,0,0,0,99,21.47,106,12.04,96,11.52,2,2.59,TN,395-4757,0,533.4,47.620000000000005
994,147,33,251.5,234.1,213.4,10.4,3,0,1,107,42.76,110,19.9,87,9.6,6,2.81,NY,421-7205,0,709.4,75.07
995,94,0,190.6,152.3,144.7,7.5,1,0,0,108,32.4,95,12.95,97,6.51,5,2.03,NV,379-8805,0,495.09999999999997,53.88999999999999
996,179,0,116.1,201.8,181.9,11.6,0,0,0,101,19.74,99,17.15,103,8.19,5,3.13,IL,348-2150,0,511.4,48.21
997,116,0,217.3,216.1,148.1,11.3,2,0,0,91,36.94,95,18.37,76,6.66,3,3.05,MS,417-9128,0,592.8,65.02
998,59,0,179.4,232.5,175.8,14.7,0,0,0,80,30.5,99,19.76,105,7.91,3,3.97,ND,351-4226,0,602.4000000000001,62.14
999,165,0,207.7,164.8,54.5,7.9,0,0,0,109,35.31,94,14.01,91,2.45,3,2.13,NC,330-6630,0,434.9,53.900000000000006
1000,133,0,277.3,228.4,117.3,12.8,2,0,0,138,47.14,117,19.41,103,5.28,4,3.46,MI,387-9137,1,635.8,75.28999999999999
1001,140,0,125.3,167.6,260.6,8.4,1,0,0,84,21.3,121,14.25,94,11.73,4,2.27,TN,372-3987,0,561.9,49.550000000000004
1002,93,32,138.1,167.3,238.9,6.8,2,0,1,91,23.48,72,14.22,115,10.75,3,1.84,VT,408-5183,0,551.0999999999999,50.290000000000006
1003,52,38,169.3,225.9,172.0,8.2,0,0,1,88,28.78,97,19.2,86,7.74,3,2.21,OK,412-9357,0,575.4000000000001,57.93000000000001
1004,64,27,201.3,143.8,150.2,12.3,1,0,1,101,34.22,89,12.22,127,6.76,3,3.32,DE,402-3599,0,507.6,56.519999999999996
1005,12,0,216.7,116.5,220.0,9.8,2,1,0,117,36.84,126,9.9,110,9.9,4,2.65,ND,379-5211,0,563.0,59.29
1006,48,0,190.4,317.5,133.4,8.3,2,0,0,92,32.37,85,26.99,113,6.0,4,2.24,OR,405-9217,0,649.5999999999999,67.6
1007,181,0,143.3,195.5,223.3,6.0,1,0,0,91,24.36,58,16.62,95,10.05,7,1.62,NY,340-9200,0,568.1,52.65
1008,168,42,97.4,203.6,173.9,11.4,2,0,1,57,16.56,98,17.31,124,7.83,2,3.08,MO,339-9026,0,486.29999999999995,44.779999999999994
1009,155,0,181.4,167.7,168.5,11.3,3,0,0,111,30.84,92,14.25,122,7.58,3,3.05,FL,343-4772,0,528.9,55.72
1010,105,0,246.4,256.2,169.0,3.8,0,0,0,83,41.89,101,21.78,151,7.61,4,1.03,ND,345-2108,0,675.4,72.31
1011,11,0,143.4,289.4,194.0,9.7,2,0,0,130,24.38,50,24.6,100,8.73,6,2.62,NY,401-4650,0,636.5,60.330000000000005
1012,182,0,104.9,198.5,258.2,8.0,2,0,0,111,17.83,120,16.87,91,11.62,5,2.16,ND,400-3945,0,569.5999999999999,48.480000000000004
1013,104,0,156.2,193.0,222.7,13.1,1,0,0,93,26.55,54,16.41,94,10.02,5,3.54,NY,338-3781,0,585.0,56.52
1014,102,0,114.8,81.9,304.3,12.0,0,0,0,125,19.52,126,6.96,101,13.69,4,3.24,OH,342-6316,0,513.0,43.410000000000004
1015,122,0,232.5,205.5,213.7,11.9,0,0,0,96,39.53,120,17.47,91,9.62,2,3.21,AL,336-5920,0,663.6,69.83
1016,41,0,143.6,152.4,194.4,8.6,1,0,0,117,24.41,108,12.95,110,8.75,3,2.32,SC,332-1060,0,499.0,48.43
1017,132,0,176.7,244.1,176.3,9.1,2,0,0,132,30.04,80,20.75,120,7.93,4,2.46,GA,418-3426,0,606.1999999999999,61.18
1018,76,0,263.4,230.3,170.6,11.4,1,0,0,148,44.78,69,19.58,101,7.68,5,3.08,WY,408-6326,1,675.6999999999999,75.11999999999999
1019,13,0,146.4,148.5,216.7,11.3,1,0,0,74,24.89,92,12.62,96,9.75,3,3.05,WV,334-6142,0,522.9,50.309999999999995
1020,115,33,145.0,194.5,242.3,14.2,2,0,1,72,24.65,157,16.53,138,10.9,3,3.83,HI,336-6128,0,596.0,55.91
1021,67,0,167.8,167.7,110.3,8.4,1,0,0,91,28.53,69,14.25,71,4.96,12,2.27,WV,406-6708,0,454.2,50.010000000000005
1022,154,0,166.9,154.9,189.4,7.2,0,0,0,99,28.37,97,13.17,89,8.52,5,1.94,LA,388-8670,0,518.4000000000001,52.0
1023,100,0,142.5,195.7,122.1,7.8,2,0,0,87,24.23,88,16.63,117,5.49,8,2.11,AR,363-5853,0,468.09999999999997,48.46
1024,146,0,133.0,262.8,214.3,11.2,1,1,0,65,22.61,93,22.34,128,9.64,3,3.02,AK,383-6544,0,621.3000000000001,57.61000000000001
1025,148,11,252.9,284.3,262.8,12.3,1,0,1,129,42.99,88,24.17,99,11.83,1,3.32,DC,378-2940,0,812.3,82.30999999999999
1026,67,28,95.0,291.2,159.6,10.0,2,0,1,94,16.15,73,24.75,114,7.18,2,2.7,AL,338-7683,0,555.8,50.78
1027,161,0,194.2,249.4,254.9,12.9,1,1,0,106,33.01,105,21.2,129,11.47,1,3.48,UT,329-2786,1,711.4,69.16
1028,70,0,222.8,215.9,223.5,0.0,1,0,0,114,37.88,113,18.35,122,10.06,0,0.0,KS,369-9465,0,662.2,66.29
1029,116,0,201.8,231.5,226.1,16.5,0,0,0,82,34.31,95,19.68,130,10.17,5,4.46,MN,337-3769,0,675.9,68.61999999999999
1030,99,42,216.0,232.3,215.5,9.3,2,0,1,125,36.72,104,19.75,100,9.7,4,2.51,VA,400-6257,1,673.0999999999999,68.68
1031,87,0,146.3,171.8,167.5,5.3,1,0,0,108,24.87,102,14.6,66,7.54,9,1.43,UT,411-6663,0,490.90000000000003,48.44
1032,87,0,234.8,140.9,204.3,9.5,1,0,0,85,39.92,91,11.98,93,9.19,5,2.57,IN,384-3101,0,589.5,63.660000000000004
1033,70,0,198.6,213.9,171.2,10.6,2,0,0,111,33.76,115,18.18,105,7.7,6,2.86,CT,339-5329,0,594.3000000000001,62.5
1034,131,0,94.4,215.1,179.7,13.1,2,0,0,80,16.05,101,18.28,108,8.09,9,3.54,DE,388-9944,0,502.3,45.96
1035,119,0,190.4,215.6,161.2,10.0,2,0,0,74,32.37,113,18.33,111,7.25,1,2.7,VT,403-1769,0,577.2,60.65
1036,119,32,142.6,208.2,171.0,12.0,3,0,1,77,24.24,126,17.7,102,7.69,2,3.24,MO,390-1612,0,533.8,52.87
1037,87,0,134.2,165.0,173.1,10.7,0,1,0,80,22.81,71,14.03,102,7.79,5,2.89,RI,421-7214,0,482.99999999999994,47.519999999999996
1038,112,0,111.9,114.0,146.8,14.1,5,0,0,92,19.02,143,9.69,79,6.61,3,3.81,CA,338-6962,1,386.80000000000007,39.13
1039,75,0,122.8,211.3,261.4,10.7,2,0,0,89,20.88,104,17.96,91,11.76,2,2.89,RI,333-9826,0,606.2,53.49
1040,150,0,189.3,220.9,238.7,9.2,4,0,0,77,32.18,105,18.78,117,10.74,5,2.48,CT,411-8549,0,658.1000000000001,64.18
1041,161,38,240.4,201.8,206.1,16.1,0,0,1,112,40.87,102,17.15,112,9.27,6,4.35,IN,381-9234,0,664.4000000000001,71.63999999999999
1042,91,24,93.5,183.4,240.7,9.9,0,1,1,112,15.9,128,15.59,133,10.83,3,2.67,FL,387-9855,0,527.4999999999999,44.99
1043,124,0,158.6,211.2,179.3,10.2,3,0,0,104,26.96,77,17.95,104,8.07,8,2.75,KS,371-6990,0,559.3,55.73
1044,94,0,243.2,147.0,94.9,7.2,4,1,0,109,41.34,88,12.5,99,4.27,4,1.94,NY,417-3046,0,492.3,60.05
1045,217,0,176.4,158.8,306.6,9.3,4,0,0,115,29.99,128,13.5,107,13.8,3,2.51,TX,385-7082,0,651.1,59.79999999999999
1046,158,0,220.9,242.2,233.3,6.4,0,0,0,129,37.55,108,20.59,75,10.5,5,1.73,RI,365-5886,0,702.8000000000001,70.37
1047,102,0,144.4,266.5,217.6,7.1,0,0,0,87,24.55,128,22.65,59,9.79,7,1.92,NV,373-5196,0,635.6,58.910000000000004
1048,85,0,212.3,228.4,163.3,7.7,0,0,0,107,36.09,103,19.41,116,7.35,3,2.08,UT,327-6194,0,611.7,64.93
1049,79,0,147.0,165.7,243.2,8.4,1,0,0,72,24.99,102,14.08,107,10.94,9,2.27,OK,381-4565,0,564.3,52.28
1050,139,25,96.2,178.9,182.1,12.9,2,0,1,112,16.35,70,15.21,84,8.19,10,3.48,MN,357-9832,0,470.1,43.23
1051,103,0,263.4,179.1,214.7,10.3,0,0,0,118,44.78,69,15.22,112,9.66,2,2.78,NC,396-4845,0,667.5,72.44
1052,98,0,12.5,256.6,169.4,7.7,1,1,0,67,2.13,90,21.81,88,7.62,9,2.08,OR,378-6772,0,446.2,33.64
1053,78,0,162.3,192.4,240.6,10.1,2,0,0,116,27.59,86,16.35,100,10.83,3,2.73,NH,353-4296,0,605.4000000000001,57.49999999999999
1054,50,0,183.6,58.6,202.6,8.7,1,0,0,107,31.21,118,4.98,99,9.12,3,2.35,AK,362-8331,0,453.49999999999994,47.66
1055,161,0,178.1,146.5,137.6,8.5,1,0,0,109,30.28,86,12.45,78,6.19,2,2.3,OR,362-4685,0,470.70000000000005,51.22
1056,67,0,201.4,97.6,202.5,7.0,0,0,0,101,34.24,122,8.3,119,9.11,3,1.89,KS,383-1431,0,508.5,53.540000000000006
1057,86,38,123.0,133.9,138.2,13.3,1,0,1,158,20.91,119,11.38,103,6.22,4,3.59,WV,332-2258,0,408.4,42.099999999999994
1058,92,0,208.0,198.9,76.4,8.6,0,0,0,125,35.36,76,16.91,97,3.44,6,2.32,GA,375-8304,0,491.9,58.029999999999994
1059,174,0,239.2,188.5,105.6,8.8,1,0,0,72,40.66,124,16.02,116,4.75,3,2.38,NM,340-5580,0,542.0999999999999,63.809999999999995
1060,124,0,193.0,89.8,172.8,15.3,1,0,0,97,32.81,99,7.63,104,7.78,3,4.13,OH,362-1490,0,470.90000000000003,52.35000000000001
1061,132,31,174.5,245.6,172.8,10.3,1,0,1,101,29.67,105,20.88,76,7.78,9,2.78,ND,336-4281,0,603.2,61.11
1062,190,26,116.7,145.9,175.1,9.9,1,0,1,71,19.84,88,12.4,103,7.88,3,2.67,RI,361-1315,0,447.6,42.790000000000006
1063,101,0,93.8,150.0,241.1,10.7,1,0,0,127,15.95,104,12.75,116,10.85,2,2.89,HI,342-5906,0,495.59999999999997,42.44
1064,185,30,154.1,118.7,258.4,12.9,2,1,1,114,26.2,106,10.09,105,11.63,3,3.48,WY,405-7904,0,544.1,51.4
1065,68,29,239.5,203.8,167.8,9.9,0,0,1,82,40.72,105,17.32,70,7.55,6,2.67,NY,349-4762,0,621.0,68.26
1066,117,25,216.0,224.1,267.9,11.8,0,0,1,140,36.72,69,19.05,112,12.06,4,3.19,KS,385-3263,0,719.8,71.02
1067,118,0,187.4,177.8,233.4,12.2,1,0,0,97,31.86,89,15.11,97,10.5,6,3.29,LA,405-9496,0,610.8000000000001,60.76
1068,124,0,167.4,233.2,109.6,10.3,0,0,0,119,28.46,143,19.82,115,4.93,5,2.78,PA,396-6775,0,520.5,55.99
1069,22,0,160.4,218.1,192.9,12.5,1,0,0,108,27.27,88,18.54,115,8.68,4,3.38,NV,393-6475,0,583.9,57.870000000000005
1070,75,0,143.2,209.1,173.0,11.9,1,0,0,92,24.34,142,17.77,96,7.79,9,3.21,MN,379-7779,0,537.1999999999999,53.11
1071,134,0,205.3,240.5,179.1,5.0,1,0,0,122,34.9,155,20.44,107,8.06,9,1.35,PA,408-8650,0,629.9,64.75
1072,164,25,219.1,151.5,50.1,14.3,1,0,1,88,37.25,99,12.88,60,2.25,6,3.86,MO,400-3497,0,435.00000000000006,56.24
1073,44,0,143.2,169.8,215.8,7.6,1,0,0,77,24.34,114,14.43,77,9.71,4,2.05,NY,407-9244,0,536.4,50.529999999999994
1074,177,0,232.8,175.2,212.2,12.5,2,0,0,106,39.58,97,14.89,77,9.55,7,3.38,ME,406-8809,0,632.7,67.39999999999999
1075,110,0,162.0,247.5,155.5,8.9,0,0,0,81,27.54,89,21.04,99,7.0,8,2.4,NH,358-1778,0,573.9,57.98
1076,53,27,25.9,206.5,228.1,6.5,1,0,1,119,4.4,96,17.55,64,10.26,7,1.76,WY,337-4339,0,467.0,33.97
1077,108,0,154.2,112.3,246.4,15.4,4,0,0,123,26.21,86,9.55,75,11.09,4,4.16,NY,344-7197,1,528.3,51.010000000000005
1078,80,0,322.3,222.0,162.8,6.7,0,0,0,113,54.79,95,18.87,123,7.33,8,1.81,ME,333-7631,1,713.8,82.8
1079,158,0,209.9,221.3,210.0,8.2,1,0,0,112,35.68,82,18.81,93,9.45,3,2.21,MN,372-6623,0,649.4000000000001,66.14999999999999
1080,114,0,191.5,175.2,220.3,0.0,0,0,0,88,32.56,78,14.89,118,9.91,0,0.0,OH,363-2602,0,587.0,57.36
1081,64,19,291.1,226.7,219.1,7.5,1,0,1,150,49.49,123,19.27,67,9.86,2,2.03,NC,387-7757,0,744.4,80.65
1082,88,0,215.6,216.2,171.3,11.8,3,0,0,115,36.65,85,18.38,65,7.71,1,3.19,SD,397-5381,0,614.8999999999999,65.93
1083,82,0,208.8,213.7,175.1,12.4,3,1,0,101,35.5,87,18.16,86,7.88,6,3.35,UT,406-4604,0,610.0,64.89
1084,111,0,255.9,204.1,171.3,12.3,3,0,0,97,43.5,129,17.35,84,7.71,5,3.32,KY,376-9513,0,643.5999999999999,71.88
1085,60,0,252.7,221.1,109.9,12.4,2,0,0,97,42.96,121,18.79,100,4.95,4,3.35,MT,360-1852,0,596.0999999999999,70.05
1086,113,0,132.1,247.5,246.2,6.9,3,0,0,72,22.46,107,21.04,123,11.08,6,1.86,NJ,421-7270,0,632.6999999999999,56.44
1087,109,0,217.0,207.0,268.0,8.2,1,0,0,115,36.89,142,17.6,106,12.06,4,2.21,FL,371-9482,0,700.2,68.75999999999999
1088,105,42,101.9,223.1,241.6,12.9,0,0,1,79,17.32,97,18.96,77,10.87,2,3.48,IN,337-4101,0,579.5,50.629999999999995
1089,85,0,211.5,184.6,164.3,13.3,2,0,0,100,35.96,88,15.69,131,7.39,4,3.59,DE,420-2796,0,573.7,62.629999999999995
1090,131,0,153.4,198.5,164.4,10.4,0,0,0,86,26.08,81,16.87,83,7.4,3,2.81,AL,366-4225,0,526.6999999999999,53.160000000000004
1091,59,0,166.3,239.3,123.2,10.0,2,0,0,95,28.27,87,20.34,108,5.54,3,2.7,ME,398-4567,0,538.8000000000001,56.85
1092,148,0,185.2,170.4,165.1,9.5,1,0,0,87,31.48,96,14.48,104,7.43,13,2.57,SD,388-4571,0,530.2,55.96
1093,210,0,104.6,149.5,255.1,6.5,2,0,0,121,17.78,71,12.71,67,11.48,8,1.76,VA,360-8666,0,515.7,43.73
1094,115,0,245.2,159.0,229.9,7.2,0,0,0,105,41.68,109,13.52,74,10.35,8,1.94,AK,333-3704,0,641.3000000000001,67.49
1095,106,0,274.4,198.6,160.8,6.0,1,0,0,120,46.65,82,16.88,62,7.24,3,1.62,ID,383-2566,0,639.8,72.39
1096,93,0,98.4,249.6,248.2,14.2,1,0,0,78,16.73,129,21.22,114,11.17,4,3.83,RI,406-5584,0,610.4000000000001,52.95
1097,57,29,279.9,223.1,251.7,13.0,1,0,1,121,47.58,109,18.96,94,11.33,2,3.51,KY,344-4691,0,767.7,81.38
1098,98,0,187.2,195.6,181.8,5.1,1,0,0,127,31.82,88,16.63,129,8.18,4,1.38,ND,347-9737,0,569.6999999999999,58.010000000000005
1099,157,0,276.2,165.8,151.6,2.2,3,0,0,95,46.95,119,14.09,79,6.82,4,0.59,HI,333-7961,0,595.8000000000001,68.45000000000002
1100,116,35,200.4,272.8,214.5,8.3,1,0,1,104,34.07,89,23.19,100,9.65,4,2.24,WI,364-2439,0,696.0,69.15
1101,30,0,162.3,244.0,180.1,9.1,2,0,0,96,27.59,122,20.74,89,8.1,4,2.46,WV,411-8043,0,595.5,58.89
1102,111,0,176.9,102.8,213.7,10.5,4,0,0,128,30.07,56,8.74,84,9.62,2,2.84,NJ,332-5084,1,503.9,51.269999999999996
1103,52,0,165.5,205.5,213.6,12.2,0,0,0,78,28.14,89,17.47,124,9.61,6,3.29,KS,413-4831,0,596.8000000000001,58.51
1104,72,0,217.8,189.7,182.6,10.4,4,0,0,93,37.03,113,16.12,91,8.22,5,2.81,AL,343-4806,0,600.5,64.18
1105,135,28,201.4,246.5,154.8,12.9,2,0,1,100,34.24,117,20.95,131,6.97,4,3.48,NJ,401-8735,1,615.6,65.64
1106,86,0,190.5,179.6,258.5,10.1,3,0,0,115,32.39,130,15.27,89,11.63,5,2.73,NC,391-8626,0,638.7,62.019999999999996
1107,98,29,179.9,189.2,164.3,12.8,3,0,1,97,30.58,89,16.08,76,7.39,7,3.46,DE,327-5817,0,546.2,57.51
1108,151,0,235.9,80.6,212.8,5.8,3,0,0,104,40.1,91,6.85,116,9.58,2,1.57,WY,381-4712,0,535.0999999999999,58.1
1109,118,0,140.4,187.1,207.9,7.9,0,0,0,112,23.87,60,15.9,155,9.36,1,2.13,ID,335-3320,0,543.3,51.260000000000005
1110,117,0,144.6,258.8,253.2,7.4,2,0,0,115,24.58,66,22.0,113,11.39,9,2.0,NY,415-8780,0,663.9999999999999,59.97
1111,55,0,189.0,118.5,248.1,17.1,0,0,0,100,32.13,99,10.07,87,11.16,6,4.62,MO,362-1146,0,572.7,57.98
1112,82,0,101.0,155.6,304.4,13.3,0,0,0,93,17.17,104,13.23,93,13.7,2,3.59,ID,352-7413,0,574.3,47.69
1113,152,0,206.3,292.8,43.7,10.6,1,0,0,98,35.07,82,24.89,121,1.97,4,2.86,IA,387-6716,0,553.4000000000001,64.79
1114,108,15,165.1,267.0,250.7,10.9,1,0,1,85,28.07,93,22.7,114,11.28,4,2.94,TN,352-1127,0,693.6999999999999,64.99
1115,98,0,165.0,202.6,172.3,12.5,1,0,0,129,28.05,113,17.22,94,7.75,7,3.38,OH,368-1288,1,552.4000000000001,56.4
1116,130,0,155.9,256.1,262.9,11.7,3,0,0,95,26.5,97,21.77,103,11.83,3,3.16,IL,403-5279,0,686.6,63.25999999999999
1117,136,0,199.2,214.7,150.9,11.8,1,1,0,122,33.86,114,18.25,105,6.79,7,3.19,FL,397-9333,0,576.5999999999999,62.089999999999996
1118,47,0,155.3,188.2,247.0,12.3,3,0,0,116,26.4,85,16.0,73,11.12,4,3.32,MA,411-7353,0,602.8,56.839999999999996
1119,189,0,208.3,236.7,179.1,11.3,3,0,0,106,35.41,123,20.12,120,8.06,5,3.05,OK,383-2537,0,635.4,66.64
1120,107,0,157.1,162.6,150.0,12.1,1,0,0,79,26.71,124,13.82,138,6.75,6,3.27,KY,330-4419,0,481.8,50.550000000000004
1121,91,0,154.4,168.3,239.9,11.7,5,0,0,165,26.25,121,14.31,81,10.8,4,3.16,MI,390-7930,1,574.3000000000001,54.519999999999996
1122,159,0,189.1,246.1,242.0,10.4,1,0,0,105,32.15,147,20.92,106,10.89,5,2.81,NE,362-5111,1,687.6,66.77
1123,11,24,131.5,230.2,283.7,10.0,2,0,1,98,22.36,111,19.57,87,12.77,3,2.7,VA,358-6796,0,655.4,57.400000000000006
1124,167,0,166.4,243.2,229.2,9.9,1,0,0,85,28.29,135,20.67,95,10.31,5,2.67,NY,409-7494,0,648.6999999999999,61.940000000000005
1125,111,0,142.3,122.8,229.5,12.8,2,0,0,75,24.19,106,10.44,94,10.33,9,3.46,MT,400-1636,0,507.40000000000003,48.42
1126,99,19,87.7,223.0,182.3,7.3,2,0,1,103,14.91,86,18.96,112,8.2,4,1.97,VT,389-2747,0,500.3,44.040000000000006
1127,159,19,184.1,194.5,225.6,16.9,0,0,1,78,31.3,71,16.53,101,10.15,3,4.56,KS,415-2176,0,621.1,62.54
1128,114,31,174.5,224.2,116.3,12.3,2,1,1,104,29.67,92,19.06,91,5.23,10,3.32,VA,377-8067,0,527.3,57.28000000000001
1129,71,0,103.3,138.5,164.8,9.0,2,0,0,103,17.56,79,11.77,98,7.42,2,2.43,AL,362-7835,0,415.6,39.18
1130,122,0,35.1,180.8,251.6,12.7,1,0,0,62,5.97,89,15.37,58,11.32,2,3.43,PA,361-5225,0,480.2,36.089999999999996
1131,100,25,246.6,141.4,189.8,13.0,1,0,1,94,41.92,112,12.02,109,8.54,5,3.51,AL,333-3447,0,590.8,65.99
1132,83,37,78.5,210.5,179.7,11.8,1,0,1,109,13.35,101,17.89,102,8.09,4,3.19,WV,341-3044,0,480.5,42.519999999999996
1133,64,0,148.1,164.9,216.0,12.3,5,0,0,73,25.18,101,14.02,125,9.72,2,3.32,NV,350-7306,1,541.3,52.24
1134,105,0,206.2,256.4,117.1,9.0,1,0,0,84,35.05,138,21.79,91,5.27,3,2.43,TN,353-8849,0,588.6999999999999,64.54
1135,144,33,251.6,197.6,209.2,12.2,2,0,1,87,42.77,118,16.8,97,9.41,3,3.29,ID,402-3476,0,670.6,72.27000000000001
1136,106,26,270.3,215.2,254.0,14.4,1,1,1,111,45.95,90,18.29,133,11.43,7,3.89,WY,338-6018,1,753.9,79.56000000000002
1137,19,34,156.6,224.2,260.9,11.3,1,0,1,97,26.62,97,19.06,135,11.74,1,3.05,TX,409-3520,0,652.9999999999999,60.47
1138,46,0,139.4,223.7,173.1,13.6,1,0,0,81,23.7,113,19.01,77,7.79,6,3.67,MA,357-1085,0,549.8000000000001,54.17
1139,127,0,220.2,188.4,172.7,11.7,2,0,0,108,37.43,124,16.01,113,7.77,3,3.16,IL,353-3285,0,593.0,64.36999999999999
1140,9,39,214.1,169.2,189.7,10.1,1,0,1,108,36.4,115,14.38,117,8.54,3,2.73,LA,409-9885,0,583.1,62.05
1141,157,0,196.0,213.4,196.8,7.9,1,0,0,74,33.32,96,18.14,81,8.86,6,2.13,CO,388-7701,0,614.1,62.45
1142,105,0,106.4,240.1,147.7,5.3,6,0,0,71,18.09,83,20.41,114,6.65,4,1.43,UT,385-8184,1,499.5,46.58
1143,105,29,179.4,275.4,246.1,10.0,0,0,1,113,30.5,100,23.41,105,11.07,5,2.7,MI,345-2863,0,710.9,67.67999999999999
1144,155,0,216.7,144.3,135.3,10.8,2,0,0,30,36.84,125,12.27,106,6.09,1,2.92,NH,353-6300,0,507.1,58.120000000000005
1145,31,0,177.3,152.8,162.9,5.1,0,0,0,129,30.14,105,12.99,92,7.33,2,1.38,ID,389-5649,0,498.1,51.84
1146,161,0,151.6,219.4,224.7,4.0,1,0,0,117,25.77,87,18.65,68,10.11,5,1.08,WA,378-8137,0,599.7,55.61
